individuo_id,progenie,cap,altura,dap,volume,ima,resistente
1,1,2.6,1.8,0.8276,4.4e-05,0.09683,1
401,1,4.7,2.7,1.4961,0.000214,0.474624,1
458,1,5.6,2.65,1.7825,0.000298,0.661321,1
849,1,,1.07,,,,0
1055,1,3.6,2.4,1.1459,0.000111,0.247518,1
1210,1,8.3,3.0,2.642,0.00074,1.644628,1
1501,1,4.5,2.7,1.4324,0.000196,0.43509,1
1582,1,10.6,4.25,3.3741,0.00171,3.800063,1
1811,1,3.8,2.55,1.2096,0.000132,0.29302,1
2039,1,0.9,1.45,0.2865,4e-06,0.009346,1
2409,1,4.2,2.25,1.3369,0.000142,0.315843,1
2585,1,0.5,1.5,0.1592,1e-06,0.002984,1
2779,1,6.8,3.0,2.1645,0.000497,1.103899,1
2919,1,4.9,2.75,1.5597,0.000236,0.52543,1
3084,1,2.0,1.75,0.6366,2.5e-05,0.055704,1
3418,1,,1.2,,,,0
3734,1,3.0,2.15,0.9549,6.9e-05,0.153982,1
3793,1,4.8,2.6,1.5279,0.000215,0.476701,1
4025,1,3.0,2.3,0.9549,7.4e-05,0.164725,1
4290,1,2.6,1.8,0.8276,4.4e-05,0.09683,1
2,2,5.0,3.05,1.5915,0.000273,0.606778,1
392,2,9.4,4.75,2.9921,0.001503,3.339946,1
565,2,4.3,3.0,1.3687,0.000199,0.441416,1
780,2,9.3,4.45,2.9603,0.001378,3.062782,1
1016,2,6.1,3.0,1.9417,0.0004,0.888323,1
1220,2,2.6,2.0,0.8276,4.8e-05,0.107589,1
1526,2,5.7,3.25,1.8144,0.000378,0.840278,1
1735,2,4.9,3.0,1.5597,0.000258,0.573197,1
1930,2,4.3,2.45,1.3687,0.000162,0.36049,1
2075,2,3.9,3.05,1.2414,0.000166,0.369164,1
2292,2,5.7,3.0,1.8144,0.000349,0.775642,1
2437,2,5.7,3.25,1.8144,0.000378,0.840278,1
2849,2,,,,,,0
3008,2,4.0,2.5,1.2732,0.000143,0.31831,1
3247,2,5.1,3.1,1.6234,0.000289,0.641641,1
3438,2,4.1,2.8,1.3051,0.000169,0.374555,1
3544,2,4.0,2.6,1.2732,0.000149,0.331042,1
3814,2,6.3,2.4,2.0054,0.000341,0.758023,1
4149,2,7.5,3.6,2.3873,0.000725,1.611444,1
4237,2,3.5,2.25,1.1141,9.9e-05,0.219335,1
3,3,9.2,4.0,2.9285,0.001212,2.694175,1
311,3,4.2,2.2,1.3369,0.000139,0.308824,1
476,3,4.5,2.75,1.4324,0.000199,0.443147,1
781,3,9.5,1.3,3.0239,0.00042,0.933643,1
1026,3,7.6,4.0,2.4192,0.000827,1.838558,1
1130,3,7.8,4.0,2.4828,0.000871,1.936597,1
1373,3,9.7,4.25,3.0876,0.001432,3.182164,1
1688,3,6.8,3.7,2.1645,0.000613,1.361475,1
1785,3,5.2,2.75,1.6552,0.000266,0.591738,1
2061,3,3.9,2.5,1.2414,0.000136,0.302593,1
2410,3,6.7,3.45,2.1327,0.000555,1.23242,1
2539,3,6.1,3.5,1.9417,0.000466,1.036377,1
2812,3,4.6,2.05,1.4642,0.000155,0.345191,1
2861,3,4.8,2.5,1.5279,0.000206,0.458366,1
3240,3,4.5,2.75,1.4324,0.000199,0.443147,1
3436,3,5.8,3.15,1.8462,0.000379,0.843251,1
3626,3,4.3,2.5,1.3687,0.000166,0.367847,1
3940,3,3.0,2.25,0.9549,7.3e-05,0.161144,1
4031,3,5.6,3.3,1.7825,0.000371,0.823531,1
4222,3,3.0,2.2,0.9549,7.1e-05,0.157563,1
4,4,4.8,2.9,1.5279,0.000239,0.531705,1
386,4,3.8,2.0,1.2096,0.000103,0.22982,1
613,4,6.9,3.35,2.1963,0.000571,1.269209,1
777,4,3.5,2.6,1.1141,0.000114,0.253454,1
1038,4,6.6,3.25,2.1008,0.000507,1.126578,1
1132,4,5.3,2.55,1.687,0.000257,0.570009,1
1323,4,7.3,3.5,2.3237,0.000668,1.484239,1
1758,4,5.1,2.9,1.6234,0.00027,0.600245,1
1816,4,3.0,2.25,0.9549,7.3e-05,0.161144,1
2015,4,3.0,1.95,0.9549,6.3e-05,0.139658,1
2229,4,6.4,3.2,2.0372,0.000469,1.043038,1
2611,4,0.8,1.38,0.2546,3e-06,0.007028,1
2814,4,3.9,2.85,1.2414,0.000155,0.344956,1
2920,4,4.7,2.55,1.4961,0.000202,0.448256,1
3126,4,3.8,2.3,1.2096,0.000119,0.264293,1
3481,4,4.2,2.5,1.3369,0.000158,0.350937,1
3667,4,3.8,2.25,1.2096,0.000116,0.258547,1
3948,4,4.5,2.5,1.4324,0.000181,0.402861,1
4011,4,1.0,1.3,0.3183,5e-06,0.010345,1
4362,4,2.1,1.8,0.6685,2.8e-05,0.063169,1
5,5,5.5,2.95,1.7507,0.00032,0.710129,1
439,5,4.8,2.55,1.5279,0.00021,0.467534,1
460,5,3.9,2.2,1.2414,0.00012,0.266282,1
761,5,7.6,3.25,2.4192,0.000672,1.493828,1
905,5,7.6,3.3,2.4192,0.000683,1.51681,1
1174,5,5.4,3.25,1.7189,0.000339,0.754156,1
1359,5,6.1,2.95,1.9417,0.000393,0.873518,1
1725,5,5.3,3.2,1.687,0.000322,0.715306,1
1848,5,6.7,3.5,2.1327,0.000563,1.250281,1
1984,5,3.7,2.2,1.1777,0.000108,0.239671,1
2366,5,4.9,2.5,1.5597,0.000215,0.477664,1
2505,5,4.4,2.55,1.4006,0.000177,0.392858,1
2858,5,2.7,2.25,0.8594,5.9e-05,0.130527,1
2992,5,6.0,3.2,1.9099,0.000413,0.916732,1
3222,5,3.9,2.7,1.2414,0.000147,0.326801,1
3370,5,5.3,2.35,1.687,0.000236,0.525303,1
3609,5,4.3,2.25,1.3687,0.000149,0.331062,1
3756,5,5.5,2.55,1.7507,0.000276,0.613841,1
4079,5,2.7,2.0,0.8594,5.2e-05,0.116024,1
4228,5,2.6,2.0,0.8276,4.8e-05,0.107589,1
6,6,4.3,2.5,1.3687,0.000166,0.367847,1
327,6,5.7,2.95,1.8144,0.000343,0.762714,1
584,6,1.5,1.55,0.4775,1.2e-05,0.027753,1
667,6,8.3,3.9,2.642,0.000962,2.138016,1
956,6,8.1,3.5,2.5783,0.000822,1.827377,1
1152,6,6.7,2.5,2.1327,0.000402,0.893058,1
1374,6,2.2,1.75,0.7003,3e-05,0.067402,1
1719,6,6.9,2.75,2.1963,0.000469,1.041888,1
1853,6,6.5,3.6,2.069,0.000545,1.210373,1
2187,6,3.4,2.22,1.0823,9.2e-05,0.204221,1
2413,6,2.9,2.0,0.9231,6e-05,0.133849,1
2464,6,3.1,2.0,0.9868,6.9e-05,0.152948,1
2804,6,3.8,2.5,1.2096,0.000129,0.287275,1
2882,6,4.5,2.3,1.4324,0.000167,0.370632,1
3130,6,5.2,2.75,1.6552,0.000266,0.591738,1
3398,6,1.3,1.5,0.4138,9e-06,0.020173,1
3716,6,4.8,2.75,1.5279,0.000227,0.504203,1
3932,6,5.1,2.5,1.6234,0.000233,0.517453,1
3981,6,2.3,2.0,0.7321,3.8e-05,0.084193,1
4291,6,4.0,2.25,1.2732,0.000129,0.286479,1
7,7,4.7,2.25,1.4961,0.000178,0.39552,1
419,7,8.6,4.0,2.7375,0.001059,2.35422,1
449,7,9.6,4.45,3.0558,0.001469,3.263568,1
736,7,7.8,3.25,2.4828,0.000708,1.573485,1
899,7,5.4,2.72,1.7189,0.000284,0.63117,1
1239,7,8.2,3.65,2.6101,0.000879,1.953038,1
1444,7,10.3,3.75,3.2786,0.001425,3.16589,1
1544,7,3.3,2.5,1.0504,9.7e-05,0.21665,1
1968,7,8.6,3.25,2.7375,0.000861,1.912804,1
2108,7,9.1,3.75,2.8966,0.001112,2.471179,1
2373,7,5.9,2.7,1.878,0.000337,0.747925,1
2608,7,7.4,3.6,2.3555,0.000706,1.568758,1
2738,7,4.5,2.6,1.4324,0.000189,0.418975,1
2997,7,7.0,3.3,2.2282,0.000579,1.286768,1
3241,7,9.0,3.3,2.8648,0.000957,2.127106,1
3335,7,6.9,2.75,2.1963,0.000469,1.041888,1
3562,7,4.7,2.55,1.4961,0.000202,0.448256,1
3762,7,6.5,3.3,2.069,0.000499,1.109509,1
4175,7,6.0,2.8,1.9099,0.000361,0.802141,1
4214,7,1.1,1.5,0.3501,6e-06,0.014443,1
8,8,7.0,3.5,2.2282,0.000614,1.364754,1
332,8,6.9,2.75,2.1963,0.000469,1.041888,1
483,8,7.6,3.75,2.4192,0.000776,1.723648,1
820,8,2.2,2.02,0.7003,3.5e-05,0.077801,1
941,8,7.3,3.5,2.3237,0.000668,1.484239,1
1238,8,5.1,2.75,1.6234,0.000256,0.569198,1
1455,8,10.2,4.1,3.2468,0.001528,3.394488,1
1552,8,7.5,3.0,2.3873,0.000604,1.34287,1
1790,8,7.2,3.25,2.2918,0.000603,1.340721,1
2167,8,7.8,3.5,2.4828,0.000763,1.694523,1
2328,8,2.3,2.0,0.7321,3.8e-05,0.084193,1
2522,8,3.8,2.5,1.2096,0.000129,0.287275,1
2678,8,4.5,2.25,1.4324,0.000163,0.362575,1
2948,8,5.1,2.5,1.6234,0.000233,0.517453,1
3165,8,6.3,3.15,2.0054,0.000448,0.994905,1
3317,8,4.7,2.65,1.4961,0.00021,0.465835,1
3724,8,7.5,3.75,2.3873,0.000755,1.678587,1
3742,8,3.2,2.1,1.0186,7.7e-05,0.171123,1
4081,8,7.5,3.5,2.3873,0.000705,1.566681,1
4390,8,5.1,2.75,1.6234,0.000256,0.569198,1
9,9,,1.15,,,,0
362,9,3.5,2.75,1.1141,0.000121,0.268077,1
642,9,5.3,2.75,1.687,0.000277,0.614716,1
666,9,7.9,3.84,2.5146,0.000858,1.907109,1
881,9,7.6,3.25,2.4192,0.000672,1.493828,1
1124,9,,,,,,0
1328,9,7.0,3.0,2.2282,0.000526,1.169789,1
1637,9,9.1,3.7,2.8966,0.001097,2.43823,1
1817,9,11.3,4.0,3.5969,0.001829,4.064499,1
2161,9,7.9,3.75,2.5146,0.000838,1.862411,1
2320,9,3.7,2.2,1.1777,0.000108,0.239671,1
2465,9,5.8,3.0,1.8462,0.000361,0.803096,1
2771,9,7.5,3.55,2.3873,0.000715,1.589063,1
2914,9,4.1,2.25,1.3051,0.000135,0.300982,1
3109,9,9.9,3.95,3.1513,0.001386,3.080758,1
3459,9,4.1,2.1,1.3051,0.000126,0.280916,1
3641,9,4.2,2.5,1.3369,0.000158,0.350937,1
3864,9,4.7,2.5,1.4961,0.000198,0.439467,1
4156,9,8.0,3.25,2.5465,0.000745,1.655211,1
4367,9,7.5,3.2,2.3873,0.000645,1.432394,1
10,10,7.3,3.15,2.3237,0.000601,1.335815,1
299,10,10.6,4.68,3.3741,0.001883,4.18454,1
478,10,7.6,3.3,2.4192,0.000683,1.51681,1
821,10,5.5,2.65,1.7507,0.000287,0.637913,1
1052,10,6.9,3.0,2.1963,0.000511,1.136605,1
1202,10,5.2,2.5,1.6552,0.000242,0.537944,1
1361,10,9.2,3.25,2.9285,0.000985,2.189017,1
1743,10,8.2,3.3,2.6101,0.000795,1.76576,1
1852,10,6.1,3.0,1.9417,0.0004,0.888323,1
1995,10,8.0,3.5,2.5465,0.000802,1.782535,1
2326,10,8.0,2.5,2.5465,0.000573,1.27324,1
2449,10,9.4,3.6,2.9921,0.001139,2.531328,1
2793,10,5.4,2.4,1.7189,0.000251,0.556915,1
3044,10,9.1,3.9,2.8966,0.001157,2.570026,1
3173,10,2.8,1.75,0.8913,4.9e-05,0.10918,1
3465,10,7.6,3.5,2.4192,0.000724,1.608738,1
3661,10,3.0,2.25,0.9549,7.3e-05,0.161144,1
3909,10,1.5,1.5,0.4775,1.2e-05,0.026857,1
4094,10,5.7,2.9,1.8144,0.000337,0.749787,1
4192,10,4.2,2.15,1.3369,0.000136,0.301806,1
11,11,6.2,3.0,1.9735,0.000413,0.917687,1
253,11,,0.8,,,,0
524,11,6.0,3.0,1.9099,0.000387,0.859437,1
669,11,7.6,3.5,2.4192,0.000724,1.608738,1
1043,11,5.6,3.0,1.7825,0.000337,0.748665,1
1227,11,5.7,3.0,1.8144,0.000349,0.775642,1
1510,11,7.0,3.5,2.2282,0.000614,1.364754,1
1656,11,7.0,3.05,2.2282,0.000535,1.189285,1
1858,11,,,,,,0
2195,11,8.7,4.05,2.7693,0.001098,2.439404,1
2260,11,5.0,2.8,1.5915,0.000251,0.557042,1
2461,11,,1.2,,,,0
2824,11,5.4,3.0,1.7189,0.000313,0.696144,1
3015,11,7.7,2.75,2.451,0.000584,1.297491,1
3215,11,3.4,2.25,1.0823,9.3e-05,0.206981,1
3353,11,6.2,3.1,1.9735,0.000427,0.948277,1
3730,11,5.8,3.05,1.8462,0.000367,0.816481,1
3850,11,6.5,3.05,2.069,0.000461,1.025455,1
3992,11,3.9,2.5,1.2414,0.000136,0.302593,1
4386,11,4.5,2.6,1.4324,0.000189,0.418975,1
12,12,7.5,3.65,2.3873,0.000735,1.633825,1
416,12,8.6,3.4,2.7375,0.0009,2.001087,1
622,12,5.0,3.0,1.5915,0.000269,0.596831,1
745,12,9.6,4.0,3.0558,0.00132,2.933544,1
1022,12,5.6,3.5,1.7825,0.000393,0.873442,1
1320,12,6.0,2.6,1.9099,0.000335,0.744845,1
1452,12,5.6,3.25,1.7825,0.000365,0.811054,1
1642,12,4.6,2.73,1.4642,0.000207,0.459694,1
1874,12,0.6,1.35,0.191,2e-06,0.003867,1
2191,12,4.7,2.65,1.4961,0.00021,0.465835,1
2255,12,3.8,2.3,1.2096,0.000119,0.264293,1
2428,12,3.0,1.85,0.9549,6e-05,0.132496,1
2859,12,3.5,2.15,1.1141,9.4e-05,0.209587,1
2940,12,3.5,2.2,1.1141,9.7e-05,0.214461,1
3277,12,6.1,3.35,1.9417,0.000446,0.991961,1
3468,12,4.4,2.75,1.4006,0.000191,0.42367,1
3728,12,5.5,2.5,1.7507,0.000271,0.601805,1
3900,12,6.6,3.0,2.1008,0.000468,1.039918,1
4172,12,5.0,2.5,1.5915,0.000224,0.497359,1
4187,12,2.4,1.9,0.7639,3.9e-05,0.08709,1
13,13,7.5,3.75,2.3873,0.000755,1.678587,1
376,13,6.4,3.5,2.0372,0.000513,1.140823,1
554,13,3.5,2.5,1.1141,0.00011,0.243706,1
818,13,,,,,,0
1076,13,,,,,,0
1201,13,6.3,3.75,2.0054,0.000533,1.184411,1
1523,13,5.1,3.0,1.6234,0.000279,0.620943,1
1625,13,6.2,3.2,1.9735,0.00044,0.978867,1
1936,13,5.0,3.3,1.5915,0.000295,0.656514,1
2027,13,,,,,,0
2321,13,6.4,3.3,2.0372,0.000484,1.075633,1
2516,13,6.8,3.72,2.1645,0.000616,1.368834,1
2688,13,5.7,3.1,1.8144,0.000361,0.801496,1
3001,13,6.9,3.7,2.1963,0.000631,1.401813,1
3090,13,6.0,3.5,1.9099,0.000451,1.002676,1
3519,13,2.2,1.8,0.7003,3.1e-05,0.069328,1
3712,13,6.0,3.65,1.9099,0.000471,1.045648,1
3744,13,6.4,3.5,2.0372,0.000513,1.140823,1
3997,13,4.8,3.0,1.5279,0.000248,0.550039,1
4256,13,6.0,2.7,1.9099,0.000348,0.773493,1
14,14,4.5,2.7,1.4324,0.000196,0.43509,1
393,14,10.1,3.75,3.2149,0.00137,3.044137,1
516,14,7.4,3.4,2.3555,0.000667,1.481605,1
691,14,7.0,3.45,2.2282,0.000605,1.345257,1
1017,14,8.6,3.75,2.7375,0.000993,2.207081,1
1181,14,7.0,3.3,2.2282,0.000579,1.286768,1
1519,14,7.3,3.3,2.3237,0.00063,1.399426,1
1621,14,8.3,3.45,2.642,0.000851,1.891322,1
1784,14,,,,,,0
2115,14,5.2,2.75,1.6552,0.000266,0.591738,1
2232,14,7.0,3.2,2.2282,0.000561,1.247775,1
2436,14,5.3,2.55,1.687,0.000257,0.570009,1
2713,14,7.1,3.25,2.26,0.000587,1.303738,1
2906,14,5.1,2.5,1.6234,0.000233,0.517453,1
3082,14,5.0,2.5,1.5915,0.000224,0.497359,1
3441,14,6.6,3.05,2.1008,0.000476,1.05725,1
3686,14,6.8,3.25,2.1645,0.000538,1.19589,1
3821,14,9.2,3.4,2.9285,0.001031,2.290049,1
4012,14,6.0,3.3,1.9099,0.000425,0.94538,1
4267,14,4.5,2.3,1.4324,0.000167,0.370632,1
15,15,9.0,3.25,2.8648,0.000943,2.094877,1
241,15,10.0,4.0,3.1831,0.001432,3.183099,1
609,15,7.4,3.25,2.3555,0.000637,1.41624,1
662,15,5.9,3.07,1.878,0.000383,0.850418,1
1025,15,5.9,3.0,1.878,0.000374,0.831028,1
1296,15,5.6,3.3,1.7825,0.000371,0.823531,1
1391,15,8.5,3.75,2.7056,0.00097,2.156052,1
1698,15,5.5,2.25,1.7507,0.000244,0.541624,1
1807,15,3.0,1.9,0.9549,6.1e-05,0.136077,1
2048,15,7.1,3.5,2.26,0.000632,1.404025,1
2309,15,8.0,3.55,2.5465,0.000814,1.808,1
2612,15,5.5,2.7,1.7507,0.000292,0.649949,1
2764,15,5.4,3.0,1.7189,0.000313,0.696144,1
2915,15,6.0,2.7,1.9099,0.000348,0.773493,1
3258,15,5.5,2.75,1.7507,0.000298,0.661985,1
3340,15,5.5,3.2,1.7507,0.000347,0.77031,1
3634,15,2.6,2.1,0.8276,5.1e-05,0.112968,1
3761,15,7.4,3.45,2.3555,0.000677,1.503394,1
4148,15,5.3,2.55,1.687,0.000257,0.570009,1
4282,15,6.0,2.75,1.9099,0.000355,0.787817,1
16,16,5.9,3.0,1.878,0.000374,0.831028,1
316,16,5.1,2.45,1.6234,0.000228,0.507103,1
619,16,9.8,4.0,3.1194,0.001376,3.057048,1
675,16,4.7,2.78,1.4961,0.00022,0.488687,1
1011,16,3.7,2.6,1.1777,0.000127,0.283248,1
1279,16,6.6,3.25,2.1008,0.000507,1.126578,1
1362,16,9.3,4.0,2.9603,0.001239,2.753062,1
1629,16,9.5,4.0,3.0239,0.001293,2.872747,1
1819,16,7.6,3.7,2.4192,0.000765,1.700666,1
2086,16,6.1,2.9,1.9417,0.000386,0.858713,1
2394,16,7.1,3.5,2.26,0.000632,1.404025,1
2531,16,4.0,2.7,1.2732,0.000155,0.343775,1
2844,16,7.5,3.3,2.3873,0.000665,1.477157,1
2978,16,7.0,3.5,2.2282,0.000614,1.364754,1
3234,16,4.3,2.35,1.3687,0.000156,0.345776,1
3431,16,4.4,2.75,1.4006,0.000191,0.42367,1
3652,16,5.9,2.5,1.878,0.000312,0.692523,1
3894,16,8.5,3.5,2.7056,0.000906,2.012315,1
4072,16,4.3,2.75,1.3687,0.000182,0.404632,1
4316,16,1.5,1.55,0.4775,1.2e-05,0.027753,1
17,17,10.0,4.0,3.1831,0.001432,3.183099,1
336,17,6.9,3.25,2.1963,0.000554,1.231322,1
580,17,3.2,2.35,1.0186,8.6e-05,0.191495,1
866,17,7.8,3.5,2.4828,0.000763,1.694523,1
984,17,12.2,3.5,3.8834,0.001865,4.145509,1
1194,17,10.9,4.25,3.4696,0.001808,4.018205,1
1413,17,3.6,2.25,1.1459,0.000104,0.232048,1
1702,17,10.7,4.0,3.4059,0.00164,3.64433,1
1826,17,8.8,3.25,2.8011,0.000901,2.002806,1
2178,17,9.0,3.5,2.8648,0.001015,2.256021,1
2274,17,7.5,3.7,2.3873,0.000745,1.656206,1
2603,17,6.0,3.5,1.9099,0.000451,1.002676,1
2686,17,6.0,2.75,1.9099,0.000355,0.787817,1
2972,17,,0.9,,,,0
3267,17,6.6,3.2,2.1008,0.000499,1.109246,1
3425,17,3.2,2.25,1.0186,8.3e-05,0.183346,1
3735,17,4.8,2.4,1.5279,0.000198,0.440032,1
3935,17,6.3,3.3,2.0054,0.000469,1.042282,1
4122,17,8.0,3.4,2.5465,0.000779,1.731606,1
4193,17,3.5,2.2,1.1141,9.7e-05,0.214461,1
18,18,4.0,2.1,1.2732,0.00012,0.26738,1
309,18,,1.0,,,,0
518,18,5.2,2.5,1.6552,0.000242,0.537944,1
826,18,6.5,3.65,2.069,0.000552,1.227184,1
1089,18,8.3,3.25,2.642,0.000802,1.78168,1
1307,18,4.4,4.0,1.4006,0.000277,0.616248,1
1384,18,7.5,3.25,2.3873,0.000655,1.454776,1
1705,18,3.7,2.25,1.1777,0.00011,0.245119,1
1762,18,3.0,2.45,0.9549,7.9e-05,0.175468,1
2090,18,4.3,2.05,1.3687,0.000136,0.301634,1
2300,18,3.2,2.25,1.0186,8.3e-05,0.183346,1
2500,18,4.3,2.65,1.3687,0.000175,0.389918,1
2848,18,5.3,2.8,1.687,0.000282,0.625893,1
3036,18,5.4,3.0,1.7189,0.000313,0.696144,1
3189,18,4.9,2.9,1.5597,0.000249,0.55409,1
3390,18,,1.25,,,,0
3694,18,7.4,3.25,2.3555,0.000637,1.41624,1
3960,18,5.3,2.55,1.687,0.000257,0.570009,1
3993,18,4.6,2.5,1.4642,0.000189,0.420965,1
4208,18,8.4,3.5,2.6738,0.000884,1.965245,1
19,19,6.3,2.8,2.0054,0.000398,0.88436,1
223,19,6.3,3.1,2.0054,0.000441,0.979113,1
461,19,,,,,,0
806,19,1.8,1.82,0.573,2.1e-05,0.046925,1
986,19,9.7,3.52,3.0876,0.001186,2.63558,1
1254,19,5.9,2.75,1.878,0.000343,0.761775,1
1325,19,2.3,2.0,0.7321,3.8e-05,0.084193,1
1589,19,6.1,3.0,1.9417,0.0004,0.888323,1
1964,19,6.8,3.25,2.1645,0.000538,1.19589,1
2180,19,6.3,3.75,2.0054,0.000533,1.184411,1
2340,19,3.8,2.25,1.2096,0.000116,0.258547,1
2521,19,5.3,2.75,1.687,0.000277,0.614716,1
2746,19,4.4,2.4,1.4006,0.000166,0.369749,1
3031,19,5.5,2.8,1.7507,0.000303,0.674021,1
3286,19,2.7,2.0,0.8594,5.2e-05,0.116024,1
3485,19,5.5,2.45,1.7507,0.000265,0.589769,1
3722,19,6.5,2.9,2.069,0.000439,0.975023,1
3947,19,2.8,1.9,0.8913,5.3e-05,0.118539,1
4112,19,2.0,1.75,0.6366,2.5e-05,0.055704,1
4319,19,3.8,2.0,1.2096,0.000103,0.22982,1
20,20,7.0,3.4,2.2282,0.000597,1.325761,1
225,20,6.0,2.75,1.9099,0.000355,0.787817,1
589,20,8.4,3.1,2.6738,0.000783,1.740646,1
694,20,7.0,3.5,2.2282,0.000614,1.364754,1
1030,20,6.0,2.8,1.9099,0.000361,0.802141,1
1140,20,7.4,3.25,2.3555,0.000637,1.41624,1
1502,20,9.3,3.75,2.9603,0.001161,2.580996,1
1740,20,8.3,2.7,2.642,0.000666,1.480165,1
1917,20,9.0,3.3,2.8648,0.000957,2.127106,1
2036,20,8.2,3.0,2.6101,0.000722,1.605237,1
2419,20,5.1,2.7,1.6234,0.000251,0.558849,1
2490,20,6.0,3.0,1.9099,0.000387,0.859437,1
2773,20,7.9,3.0,2.5146,0.00067,1.489929,1
2943,20,3.6,1.85,1.1459,8.6e-05,0.190795,1
3174,20,7.6,3.25,2.4192,0.000672,1.493828,1
3355,20,9.1,3.7,2.8966,0.001097,2.43823,1
3556,20,5.7,3.2,1.8144,0.000372,0.827351,1
3772,20,7.5,3.05,2.3873,0.000614,1.365251,1
4101,20,7.5,2.75,2.3873,0.000554,1.230964,1
4384,20,7.9,3.4,2.5146,0.00076,1.688586,1
21,21,6.6,2.9,2.1008,0.000452,1.005254,1
252,21,7.6,2.8,2.4192,0.000579,1.286991,1
628,21,7.2,3.3,2.2918,0.000613,1.361348,1
857,21,7.0,3.8,2.2282,0.000667,1.481733,1
1003,21,5.7,2.8,1.8144,0.000326,0.723932,1
1223,21,4.6,2.45,1.4642,0.000186,0.412546,1
1451,21,6.7,3.1,2.1327,0.000498,1.107392,1
1659,21,6.9,3.05,2.1963,0.00052,1.155548,1
1833,21,8.4,3.25,2.6738,0.000821,1.824871,1
2054,21,7.8,3.95,2.4828,0.000861,1.91239,1
2268,21,7.0,2.8,2.2282,0.000491,1.091803,1
2526,21,6.4,3.25,2.0372,0.000477,1.059335,1
2715,21,6.0,2.6,1.9099,0.000335,0.744845,1
2989,21,7.4,3.0,2.3555,0.000588,1.307299,1
3217,21,4.4,1.9,1.4006,0.000132,0.292718,1
3364,21,4.9,2.0,1.5597,0.000172,0.382131,1
3670,21,5.8,3.0,1.8462,0.000361,0.803096,1
3861,21,3.5,1.8,1.1141,7.9e-05,0.175468,1
4029,21,6.3,3.2,2.0054,0.000455,1.010698,1
4248,21,9.0,3.35,2.8648,0.000972,2.159335,1
22,22,8.4,3.75,2.6738,0.000948,2.10562,1
360,22,5.6,2.8,1.7825,0.000314,0.698754,1
450,22,6.0,3.1,1.9099,0.0004,0.888085,1
877,22,8.7,3.75,2.7693,0.001016,2.258707,1
906,22,6.4,3.05,2.0372,0.000447,0.994145,1
1245,22,7.1,3.2,2.26,0.000578,1.28368,1
1370,22,4.7,2.35,1.4961,0.000186,0.413099,1
1660,22,7.4,3.0,2.3555,0.000588,1.307299,1
1793,22,10.0,3.8,3.1831,0.001361,3.023944,1
2016,22,6.8,2.95,2.1645,0.000488,1.0855,1
2298,22,3.8,2.4,1.2096,0.000124,0.275784,1
2551,22,6.7,3.25,2.1327,0.000522,1.160976,1
2823,22,6.8,2.3,2.1645,0.000381,0.846322,1
2863,22,7.6,3.5,2.4192,0.000724,1.608738,1
3186,22,7.7,3.25,2.451,0.00069,1.533398,1
3504,22,3.5,2.0,1.1141,8.8e-05,0.194965,1
3662,22,4.5,2.2,1.4324,0.00016,0.354518,1
3804,22,2.3,1.95,0.7321,3.7e-05,0.082088,1
4018,22,5.3,2.5,1.687,0.000251,0.558833,1
4355,22,6.7,3.25,2.1327,0.000522,1.160976,1
23,23,5.0,2.65,1.5915,0.000237,0.527201,1
303,23,4.5,2.75,1.4324,0.000199,0.443147,1
491,23,7.5,3.3,2.3873,0.000665,1.477157,1
709,23,4.4,2.6,1.4006,0.00018,0.400561,1
1007,23,4.8,2.75,1.5279,0.000227,0.504203,1
1249,23,6.5,3.25,2.069,0.000492,1.092698,1
1531,23,5.9,3.3,1.878,0.000411,0.91413,1
1615,23,6.5,3.25,2.069,0.000492,1.092698,1
1779,23,6.3,3.0,2.0054,0.000426,0.947529,1
2103,23,6.0,3.1,1.9099,0.0004,0.888085,1
2222,23,2.5,1.75,0.7958,3.9e-05,0.087038,1
2424,23,,1.23,,,,0
2808,23,2.6,2.0,0.8276,4.8e-05,0.107589,1
3034,23,3.3,2.1,1.0504,8.2e-05,0.181986,1
3103,23,2.4,1.75,0.7639,3.6e-05,0.080214,1
3337,23,5.5,2.8,1.7507,0.000303,0.674021,1
3598,23,5.0,2.85,1.5915,0.000255,0.566989,1
3801,23,3.8,2.25,1.2096,0.000116,0.258547,1
4080,23,6.0,3.0,1.9099,0.000387,0.859437,1
4215,23,,1.3,,,,0
24,24,6.9,3.25,2.1963,0.000554,1.231322,1
370,24,10.1,4.1,3.2149,0.001498,3.328256,1
541,24,8.5,3.0,2.7056,0.000776,1.724842,1
704,24,6.5,2.9,2.069,0.000439,0.975023,1
901,24,7.7,3.6,2.451,0.000764,1.698533,1
1128,24,3.9,2.25,1.2414,0.000123,0.272334,1
1500,24,5.7,3.0,1.8144,0.000349,0.775642,1
1543,24,8.0,3.5,2.5465,0.000802,1.782535,1
1896,24,2.9,2.7,0.9231,8.1e-05,0.180697,1
2114,24,8.7,3.25,2.7693,0.000881,1.957546,1
2303,24,,0.5,,,,0
2466,24,5.3,3.5,1.687,0.000352,0.782366,1
2748,24,,1.25,,,,0
3062,24,3.7,2.0,1.1777,9.8e-05,0.217883,1
3221,24,5.5,2.5,1.7507,0.000271,0.601805,1
3369,24,7.0,2.5,2.2282,0.000439,0.974824,1
3725,24,8.5,3.35,2.7056,0.000867,1.926073,1
